obj,planner,starting_pose,goal_pose,env,result,run_time,started from start_pose
Cube,RRT,2,4,1,False,0.164014000000009,True
Cube,RRT,3,4,1,False,0.161254000000014,True
Cube,RRT,4,4,1,False,0.16527099999999,True
Cube,RRT,5,4,1,False,0.160244000000006,True
Cube,RRT,6,4,1,False,0.154539999999997,True
Cube,RRT,7,4,1,False,0.164417999999984,True
Cube,RRT,8,4,1,False,0.159071999999981,True
Cube,RRT,9,4,1,False,0.159816999999975,True
Cube,RRT,0,5,1,False,0.158958000000013,True
Cube,RRT,1,5,1,False,0.161753999999974,True
Cube,RRT,2,5,1,False,0.157764000000014,True
Cube,RRT,3,5,1,False,0.159612999999979,True
Cube,RRT,4,5,1,False,0.163630999999981,True
Cube,RRT,5,5,1,False,0.154072999999983,True
Cube,RRT,6,5,1,False,0.159013000000016,True
Cube,RRT,7,5,1,False,0.157929999999993,True
Cube,RRT,8,5,1,False,0.16411500000001,True
Cube,RRT,9,5,1,False,0.151491000000021,True
Cube,RRT,0,6,1,False,0.164084000000003,True
Cube,RRT,1,6,1,False,0.182313000000022,True
Cube,RRT,2,6,1,False,0.160505999999998,True
Cube,RRT,3,6,1,False,0.163285999999999,True
Cube,RRT,4,6,1,False,0.165582000000001,True
Cube,RRT,5,6,1,False,0.147588999999982,True
Cube,RRT,6,6,1,False,0.165433000000007,True
Cube,RRT,7,6,1,False,0.167671999999982,True
Cube,RRT,8,6,1,False,0.169820000000016,True
Cube,RRT,9,6,1,False,0.160879999999992,True
Cube,RRT,0,7,1,False,0.162741000000011,True
Cube,RRT,1,7,1,False,0.163877000000014,True
Cube,RRT,2,7,1,False,0.155789999999996,True
Cube,RRT,3,7,1,False,0.16652000000002,True
Cube,RRT,4,7,1,False,0.160085000000009,True
Cube,RRT,5,7,1,False,0.160415999999998,True
Cube,RRT,6,7,1,False,0.162879000000004,True
Cube,RRT,7,7,1,False,0.162119999999987,True
Cube,RRT,8,7,1,False,0.159502000000003,True
Cube,RRT,9,7,1,False,0.163416000000012,True
Cube,RRT,0,8,1,False,0.163533000000001,True
Cube,RRT,1,8,1,False,0.156825999999995,True
Cube,RRT,2,8,1,False,0.162850999999989,True
Cube,RRT,3,8,1,False,0.154552999999993,True
Cube,RRT,4,8,1,False,0.157109999999989,True
Cube,RRT,5,8,1,False,0.164923000000016,True
Cube,RRT,6,8,1,False,0.161923999999999,True
Cube,RRT,7,8,1,False,0.162487999999996,True
Cube,RRT,8,8,1,False,0.155761000000013,True
Cube,RRT,9,8,1,False,0.164209999999997,True
Cube,RRT,0,9,1,False,0.159877999999992,True
Cube,RRT,1,9,1,False,0.157097000000022,True
Cube,RRT,2,9,1,False,0.158164999999997,True
Cube,RRT,3,9,1,False,0.155094999999989,True
Cube,RRT,4,9,1,False,0.161214000000001,True
