X,Y,Z,Qx,Qx,Qy,Qz
0.11560999999999999,0.47931,0.18638,-0.6968813480054126,-0.28967470002269274,0.6102163762773118,-0.24099985288773199
-0.12195999999999999,0.50854,0.2077,-0.7077278128549468,0.2603136782914746,0.55587816718492,0.34979650520416905
-0.13351,0.45694,0.24692,-0.5758166125696903,0.21909656960108667,0.663895635524901,0.4238802979719519
0.09369,0.44044,0.30866,-0.7927608903583252,-0.3073202818635913,0.5004930304635629,-0.16306790466231386
-0.12056999999999998,0.50928,0.23117000000000001,-0.6207022611498966,0.36161448696456044,0.6525686718785746,0.24107632464304024
0.10245000000000001,0.59029,0.03475000000000002,0.2512391313163177,0.3111138775645991,-0.43321139932580016,0.807722067035638
0.11041999999999999,0.40906,0.14869,0.6392239797918912,0.6240875285399883,-0.3004003402300689,0.334166269945852
0.12979,0.43663,0.04533999999999999,0.565000583643889,0.6223665432858928,-0.3106420833444368,0.4437744047777672
0.09808,0.39215,0.11845999999999998,-0.6812422595582331,-0.6407884436699771,0.2621407269558996,-0.237868437422946
-0.05336,0.3618,0.13019999999999998,0.7478692172400112,0.6442567857218569,0.12088117010451355,-0.10494079602479733
